CVE_ART,DESCR,LIN_PROD,CON_SERIE,UNI_MED,UNI_EMP,CTRL_ALM,TIEM_SURT,STOCK_MIN,STOCK_MAX,TIP_COSTEO,NUM_MON,FCH_ULTCOM,COMP_X_REC,FCH_ULTVTA,PEND_SURT,EXIST,COSTO_PROM,ULT_COSTO,CVE_OBS,TIPO_ELE,UNI_ALT,FAC_CONV,APART,CON_LOTE,CON_PEDIMENTO,PESO,VOLUMEN,CVE_ESQIMPU,CVE_BITA,VTAS_ANL_C,VTAS_ANL_M,COMP_ANL_C,COMP_ANL_M,PREFIJO,TALLA,COLOR,CUENT_CONT,CVE_IMAGEN,BLK_CST_EXT,STATUS,MAN_IEPS,APL_MAN_IMP,CUOTA_IEPS,APL_MAN_IEPS,UUID,VERSION_SINC,VERSION_SINC_FECHA_IMG,CVE_PRODSERV,CVE_UNIDAD,EDO_PUBL_ML,CVE_PUBL_ML,CONDICION_ML,TIPO_PUBL_ML,MODO_ENVIO_ML,LARGO_ML,ALTO_ML,ANCHO_ML,ENVIO_ML,CATEG_ML,CAMPOS_CATEG_ML,DISPONIBLE_PUBL,CVE_CATE_ML,LAST_UPDATE_ML,F_CREA_ML,IMAGEN_ML
EQSOLDINV,EQUIPO SOLDADURA 220V 150A/60%,SOLDA,N,PZ,1,P2-ANA-01,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,EQSOLDINV,N,A,N,1,0,C,9D22500E-C001-41C0-9296-7DDD7531B917,2020-06-19 13:19:43,2020-06-19 13:19:41,23271700,H87,,,,,,,,,,,,,,,,
EQSOLMGAR,EQUIPO SOLDADURA MONOFASICO REG.MAG,SOLDA,N,PZ,1,P2-ANA-03,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,EQSOLMGAR,N,A,N,1,0,C,4ED60993-2573-4149-8032-1A6EE55B6C10,2020-06-19 13:20:09,2020-06-19 13:20:07,23271700,H87,,,,,,,,,,,,,,,,
ESCEXTMEC,ESCALERA EXT. MECÁNICA ALT. MAX 7.08M,ESCAL,N,PZ,1,P2-ANA-01,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,ESCEXTMEC,N,A,N,1,0,C,33A71F95-A32B-4C49-98B0-2C9C7603ABF9,2020-06-19 13:20:49,2020-06-19 13:20:48,30191501,H87,,,,,,,,,,,,,,,,
ESCEXT2T,ESCALERA EXTENSIBLE DE DOS TRAMOS 100CM,ESCAL,N,PZ,1,P1-ANA-03,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,ESCEXT2T,N,A,N,1,0,C,DD147055-D9DB-4338-970B-811860706F5A,2020-06-19 13:20:30,2020-06-19 13:20:29,30191501,H87,,,,,,,,,,,,,,,,
ESCFIJA,ESCALERA FIJA  ALT. MAX. 2.78M,ESCAL,N,PZ,1,P2-ANA-03,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,ESCFIJA,N,A,N,1,0,C,B5C74594-515C-4C22-9387-71B259F507A4,2020-06-19 13:21:03,2020-06-19 13:21:02,30191501,H87,,,,,,,,,,,,,,,,
ESCTRIPLE,ESCALERA TRIPLE ALT. MAX. 4.96M 5 POS.,ESCAL,N,PZ,1,P2-ANA-01,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,ESCTRIPLE,N,A,N,1,0,C,320ADDFF-10FF-49B3-929C-5518FC914E13,2020-06-19 13:52:34,2020-06-19 13:52:32,30191501,H87,,,,,,,,,,,,,,,,
ESCOBAPCC,ESCOBA PLUMANDA CON CABO,LIMP,N,PZ,1,P1-ANA-03,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,ESCOBAPCC,N,A,N,1,0,C,72A25D59-11C4-4E6C-800F-393F1BD0106C,2020-06-19 13:27:53,2020-06-19 13:27:52,47131604,H87,,,,,,,,,,,,,,,,
ABRAFLEXFIN,ESPONJA SOFTBACK FINO GRANO DE 320 A 400,ABRAS,S,PZ,1,P1-ANA-03,15,0,0,E,1,2020-04-10 00:00:00,0,,0,24,38.25,38.25,0,P,PZ,1,0,S,S,0,0,1,,0,0,24,919.9125,,,,,ABRAFLEXFIN,N,A,N,1,0,C,CAB028E4-C6D3-4182-B436-B43084A1888F,2020-06-21 22:10:11,2020-06-19 12:59:13,47121803,H87,,,,,,,,,,,,,,,,
ABRAFLEXMED,ESPONJA SOFTBACK MEDIO GRANO DE 100 A 18,ABRAS,S,PZ,1,P2-ANA-01,15,0,0,E,1,2020-04-15 00:00:00,0,2020-05-30 00:00:00,0,14,24.999999999999996,27.083333333333332,0,P,PZ,1,0,S,S,0,0,1,,0,0,0,0,,,,,ABRAFLEXMED,N,A,N,1,0,C,008BB3D5-D41E-4EA5-86C8-9189B4BAAFE9,2020-06-22 18:01:55,2020-06-19 12:59:22,47121803,H87,,,,,,,,,,,,,,,,
ESPATULAHAI,ESPÁTULA HOJA DE ACERO INOXIDABLE 8CM,CONST,N,PZ,1,P2-ANA-03,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,ESPATULAHAI,N,A,N,1,0,C,9311AB8C-8436-4D62-AF9A-0DE2E652F1C6,2020-06-19 13:52:57,2020-06-19 13:52:56,60121231,H87,,,,,,,,,,,,,,,,
